epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
13,50.1494,0.75108,2.75898,1.58208,0.0692,0.64,0.11521,0.09215,0.63457,3.15356,1.80369,0.000212252,0.000212252,0.000212252
14,53.9441,0.74098,2.51016,1.58434,0.07449,0.62,0.11081,0.09118,0.60045,3.14056,1.78738,0.000222891,0.000222891,0.000222891
15,57.0026,0.75836,2.35817,1.86502,0.08155,0.69,0.12889,0.10907,0.59305,3.15955,1.61853,0.000232669,0.000232669,0.000232669
16,60.8372,0.71494,2.32886,1.57173,0.07731,0.705,0.14486,0.12537,0.58178,3.16542,1.63208,0.000241586,0.000241586,0.000241586
17,64.4238,0.77581,2.20059,1.59275,0.07317,0.725,0.16966,0.15349,0.54971,3.07176,1.63564,0.000249641,0.000249641,0.000249641
18,68.0913,0.74077,2.04973,1.64293,0.06994,0.725,0.1729,0.15556,0.535,3.00733,1.58473,0.000256835,0.000256835,0.000256835
19,71.7437,0.70507,1.862,1.58152,0.06554,0.725,0.17006,0.1526,0.52525,2.99325,1.59097,0.000263168,0.000263168,0.000263168
20,74.9375,0.68693,1.92565,1.54165,0.05665,0.725,0.16779,0.1508,0.53177,2.93744,1.63104,0.000268639,0.000268639,0.000268639
21,78.0612,0.67874,1.7749,1.49262,0.05616,0.725,0.17049,0.15423,0.53098,2.87409,1.67487,0.00026274,0.00026274,0.00026274
22,81.0569,0.651,1.69618,1.55422,0.0579,0.7,0.16973,0.14927,0.52729,2.8327,1.61875,0.000254127,0.000254127,0.000254127
23,84.0067,0.70703,1.71582,1.56896,0.33024,0.61667,0.1707,0.15142,0.53983,2.86181,1.63506,0.000245514,0.000245514,0.000245514
24,87.0218,0.66695,1.63432,1.57036,0.59693,0.2814,0.18168,0.16151,0.52075,2.96436,1.58397,0.000236901,0.000236901,0.000236901
25,90.7869,0.62059,1.55026,1.43608,0.49054,0.29429,0.18996,0.16689,0.50669,3.02247,1.56603,0.000228288,0.000228288,0.000228288
26,94.3779,0.62267,1.45739,1.45346,0.50869,0.19251,0.19821,0.17451,0.50838,3.07986,1.55528,0.000219675,0.000219675,0.000219675
27,98.2308,0.59404,1.36057,1.39063,0.53074,0.18641,0.20647,0.18331,0.5036,3.10541,1.54336,0.000211062,0.000211062,0.000211062
28,101.878,0.59848,1.41929,1.48289,0.65438,0.14255,0.2081,0.18274,0.49153,3.14429,1.66046,0.000202449,0.000202449,0.000202449
29,104.962,0.64003,1.42017,1.48941,0.66274,0.13101,0.20799,0.18302,0.47796,3.18026,1.6557,0.000193836,0.000193836,0.000193836
30,108.151,0.60373,1.2977,1.45782,0.54156,0.13354,0.21245,0.1914,0.45943,3.16633,1.59295,0.000185223,0.000185223,0.000185223
31,111.937,0.58823,1.2457,1.43248,0.78191,0.11215,0.21841,0.19508,0.46504,3.13504,1.54551,0.00017661,0.00017661,0.00017661
32,115.578,0.57959,1.24638,1.37561,0.07914,0.56286,0.21506,0.19667,0.47976,3.1113,1.65224,0.000167997,0.000167997,0.000167997
33,119.324,0.54493,1.16465,1.43091,0.07951,0.55452,0.21088,0.19229,0.48352,3.13362,1.65901,0.000159384,0.000159384,0.000159384
34,122.352,0.54891,1.19349,1.3685,0.08129,0.55595,0.20172,0.17984,0.47213,3.20152,1.57168,0.000150771,0.000150771,0.000150771
35,125.428,0.54523,1.16972,1.43791,0.08083,0.54048,0.19547,0.17884,0.46085,3.25124,1.55232,0.000142158,0.000142158,0.000142158
36,128.382,0.56503,1.14707,1.35195,0.07751,0.52357,0.18625,0.16758,0.48669,3.37726,1.56265,0.000133545,0.000133545,0.000133545
37,131.422,0.58064,1.10532,1.41312,0.07359,0.495,0.18463,0.16623,0.48774,3.42026,1.54391,0.000124932,0.000124932,0.000124932
38,134.407,0.60158,1.14252,1.44182,0.07383,0.49833,0.18722,0.17037,0.47383,3.43336,1.53659,0.000116319,0.000116319,0.000116319
39,137.374,0.54578,1.10631,1.32051,0.0747,0.50333,0.18926,0.17099,0.47849,3.42951,1.54027,0.000107706,0.000107706,0.000107706
40,140.411,0.51948,0.96947,1.33929,0.07891,0.51851,0.19823,0.18367,0.44352,3.42587,1.52669,9.9093e-05,9.9093e-05,9.9093e-05
41,169.589,0.42056,1.07277,1.30898,0.07683,0.50661,0.19816,0.18063,0.44204,3.43467,1.53538,9.048e-05,9.048e-05,9.048e-05
42,172.644,0.39957,0.99048,1.26155,0.35302,0.10329,0.1934,0.17607,0.44719,3.44631,1.55338,8.1867e-05,8.1867e-05,8.1867e-05
43,175.752,0.36709,0.94159,1.24623,0.35734,0.09375,0.19285,0.17572,0.45783,3.4477,1.58716,7.3254e-05,7.3254e-05,7.3254e-05
44,178.808,0.38703,0.98726,1.25364,0.34051,0.11364,0.18606,0.16781,0.4933,3.47782,1.57937,6.4641e-05,6.4641e-05,6.4641e-05
45,181.909,0.40213,0.99162,1.16616,0.35799,0.11255,0.18551,0.16611,0.48951,3.48202,1.55425,5.6028e-05,5.6028e-05,5.6028e-05
46,185.137,0.37676,0.93838,1.18149,0.30658,0.14599,0.18248,0.1633,0.47618,3.49894,1.53545,4.7415e-05,4.7415e-05,4.7415e-05
47,189.695,0.36425,0.88528,1.20243,0.06558,0.41708,0.18224,0.16381,0.46383,3.51229,1.52401,3.8802e-05,3.8802e-05,3.8802e-05
48,193.67,0.3655,0.88458,1.24584,0.06669,0.41708,0.18113,0.16299,0.45279,3.51729,1.52216,3.0189e-05,3.0189e-05,3.0189e-05
49,197.965,0.37131,0.8894,1.21992,0.06803,0.42333,0.18163,0.16777,0.45256,3.52831,1.52986,2.1576e-05,2.1576e-05,2.1576e-05
50,202.16,0.34589,0.853,1.19005,0.0678,0.42065,0.18183,0.16769,0.45329,3.5274,1.53545,1.2963e-05,1.2963e-05,1.2963e-05
