epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.61011,1.27561,4.75118,2.73133,0.0017,0.05833,0.00138,0.00067,1.08494,4.32485,3.10446,1.74e-05,1.74e-05,1.74e-05
2,7.97938,1.19773,4.71423,2.61652,0.75472,0.125,0.01991,0.01319,0.92786,4.21,2.7717,3.83748e-05,3.83748e-05,3.83748e-05
3,11.9345,0.92081,4.51256,2.12287,0.77886,0.025,0.04462,0.03453,0.8004,4.09181,2.31165,5.84884e-05,5.84884e-05,5.84884e-05
4,16.0314,0.86456,4.33764,2.07748,0.02151,0.50476,0.05796,0.04348,0.71689,4.02996,2.13168,7.77406e-05,7.77406e-05,7.77406e-05
5,20.0045,0.83695,4.28203,1.97801,0.03439,0.53214,0.06111,0.04584,0.65545,3.97134,2.01146,9.61315e-05,9.61315e-05,9.61315e-05
6,23.8166,0.89649,4.13615,1.99778,0.03415,0.575,0.06943,0.05517,0.60888,3.88757,1.93182,0.000113661,0.000113661,0.000113661
7,27.5447,0.79352,3.92365,1.84903,0.02868,0.575,0.08001,0.06618,0.6053,3.7411,1.88287,0.000130329,0.000130329,0.000130329
8,31.1268,0.75003,3.65076,1.77231,0.03705,0.58125,0.08832,0.07392,0.62391,3.68513,1.98594,0.000146137,0.000146137,0.000146137
9,34.83,0.77272,3.38352,1.88878,0.04071,0.575,0.09412,0.07738,0.64865,3.74794,1.90327,0.000161082,0.000161082,0.000161082
10,38.498,0.8233,3.23781,1.90863,0.04722,0.6375,0.10096,0.07912,0.63916,3.621,1.84181,0.000175167,0.000175167,0.000175167
11,42.8722,0.77112,2.99593,1.71479,0.04953,0.58125,0.10797,0.086,0.6216,3.40338,1.79477,0.00018839,0.00018839,0.00018839
12,46.4987,0.82019,2.88655,1.78113,0.06089,0.63,0.11322,0.09014,0.6424,3.20084,1.78984,0.000200752,0.000200752,0.000200752
