epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
34,117.404,0.53259,1.05985,1.4013,0.59761,0.45714,0.58908,0.54337,0.43551,2.32996,1.48262,0.000150771,0.000150771,0.000150771
35,121.037,0.55176,1.01574,1.42334,0.58737,0.42728,0.58115,0.53998,0.43367,2.40548,1.50406,0.000142158,0.000142158,0.000142158
36,124.053,0.50994,0.90249,1.41865,0.59864,0.39714,0.5606,0.52261,0.41483,2.5035,1.50832,0.000133545,0.000133545,0.000133545
37,127.058,0.54827,1.00504,1.40442,0.60528,0.39714,0.54878,0.5159,0.41638,2.55576,1.51674,0.000124932,0.000124932,0.000124932
38,129.988,0.52618,0.94796,1.43289,0.70282,0.41457,0.53627,0.50182,0.42504,2.60404,1.52424,0.000116319,0.000116319,0.000116319
39,132.886,0.51325,0.87735,1.39811,0.70751,0.38977,0.52837,0.49404,0.42247,2.61484,1.50747,0.000107706,0.000107706,0.000107706
40,135.914,0.50817,0.88305,1.38951,0.68244,0.35325,0.51332,0.48919,0.40903,2.6459,1.47262,9.9093e-05,9.9093e-05,9.9093e-05
41,162.792,0.39765,0.80189,1.27068,0.66259,0.35443,0.48921,0.4698,0.40312,2.69405,1.48716,9.048e-05,9.048e-05,9.048e-05
42,166.003,0.39786,0.80628,1.28906,0.62897,0.34,0.4612,0.44299,0.41765,2.86378,1.53458,8.1867e-05,8.1867e-05,8.1867e-05
43,169.055,0.37365,0.78879,1.25354,0.62467,0.33393,0.46644,0.44896,0.41684,2.92576,1.54996,7.3254e-05,7.3254e-05,7.3254e-05
44,172.015,0.39263,0.84264,1.33164,0.61249,0.33355,0.47214,0.45606,0.41645,2.92286,1.56131,6.4641e-05,6.4641e-05,6.4641e-05
45,175.041,0.36571,0.74363,1.28837,0.60398,0.38886,0.47249,0.45486,0.4182,2.88901,1.54942,5.6028e-05,5.6028e-05,5.6028e-05
46,178.247,0.37084,0.72293,1.25872,0.61635,0.41533,0.47874,0.46223,0.41856,2.80798,1.52311,4.7415e-05,4.7415e-05,4.7415e-05
47,181.186,0.36067,0.75229,1.28273,0.62603,0.42672,0.47992,0.46287,0.41555,2.77784,1.51378,3.8802e-05,3.8802e-05,3.8802e-05
48,184.258,0.34215,0.6952,1.25551,0.62686,0.44186,0.48114,0.46146,0.41131,2.748,1.51816,3.0189e-05,3.0189e-05,3.0189e-05
49,187.215,0.35838,0.71374,1.23236,0.62505,0.4424,0.48141,0.46129,0.41093,2.73198,1.51395,2.1576e-05,2.1576e-05,2.1576e-05
50,190.182,0.35239,0.70505,1.3171,0.62132,0.44286,0.47957,0.46004,0.41184,2.71709,1.51401,1.2963e-05,1.2963e-05,1.2963e-05
