epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.61251,1.38852,4.77192,2.81325,0,0,0,0,1.06621,4.35154,3.08242,2.175e-05,2.175e-05,2.175e-05
2,7.79977,1.05001,4.70304,2.39537,0.02857,0.00571,0.01523,0.00761,0.88766,4.25756,2.7531,4.69026e-05,4.69026e-05,4.69026e-05
3,11.4895,0.8922,4.50323,2.07948,0,0,0,0,0.72547,4.09629,2.25332,7.10216e-05,7.10216e-05,7.10216e-05
4,14.5199,0.83815,4.30873,1.94328,0.02599,0.14571,0.01823,0.01285,0.65402,3.96031,2.05856,9.4107e-05,9.4107e-05,9.4107e-05
5,18.2541,0.81944,4.17791,1.89286,0.06599,0.39429,0.08481,0.07049,0.6097,3.82867,1.94627,0.000116159,0.000116159,0.000116159
6,21.9782,0.7892,3.97975,1.86448,0.06907,0.6,0.15337,0.13151,0.5946,3.6442,1.91454,0.000137177,0.000137177,0.000137177
7,25.6072,0.77852,3.80716,1.92683,0.09077,0.69,0.27693,0.23024,0.60619,3.41931,1.90747,0.000157162,0.000157162,0.000157162
8,29.3509,0.79848,3.48806,1.81282,0.08067,0.78,0.2824,0.23888,0.56982,3.31566,1.82816,0.000176113,0.000176113,0.000176113
9,33.0695,0.78551,3.2629,1.80796,0.70748,0.33714,0.27716,0.23674,0.5866,3.04708,1.80267,0.000194031,0.000194031,0.000194031
10,36.0645,0.79601,3.08559,1.77434,0.54421,0.42857,0.26463,0.21927,0.58337,2.73025,1.85868,0.000210915,0.000210915,0.000210915
11,39.2261,0.78877,2.82723,1.6834,0.32877,0.51429,0.25958,0.21378,0.59598,2.50998,1.76862,0.000226766,0.000226766,0.000226766
12,42.2715,0.7871,2.62865,1.70338,0.36495,0.57286,0.25605,0.21303,0.59141,2.53862,1.71115,0.000241582,0.000241582,0.000241582
13,45.2618,0.74989,2.49435,1.66633,0.39478,0.58459,0.29263,0.25701,0.55687,2.54158,1.68412,0.000255366,0.000255366,0.000255366
14,48.8591,0.75404,2.47518,1.61476,0.19741,0.58632,0.37118,0.33199,0.54132,2.48968,1.64311,0.000268116,0.000268116,0.000268116
15,52.5069,0.71211,2.23053,1.60699,0.22598,0.54706,0.38781,0.34194,0.553,2.4735,1.76094,0.000279832,0.000279832,0.000279832
16,56.2146,0.67653,2.12834,1.68501,0.25098,0.44256,0.40098,0.35088,0.55549,2.42048,1.59466,0.000290515,0.000290515,0.000290515
17,59.9041,0.67497,2.05078,1.52559,0.2911,0.51064,0.4226,0.36602,0.54864,2.32595,1.58527,0.000297192,0.000297192,0.000297192
18,63.4497,0.68257,1.99822,1.56493,0.34338,0.41429,0.44724,0.37949,0.52988,2.30413,1.51459,0.000288579,0.000288579,0.000288579
19,66.9867,0.66402,1.88964,1.59115,0.40078,0.36143,0.44962,0.39613,0.49967,2.31705,1.50831,0.000279966,0.000279966,0.000279966
20,70.7999,0.67573,1.69676,1.58254,0.37627,0.37591,0.44499,0.39516,0.48483,2.37278,1.49604,0.000271353,0.000271353,0.000271353
21,73.838,0.67105,1.67912,1.49148,0.38496,0.37867,0.4405,0.38289,0.50344,2.45182,1.51018,0.00026274,0.00026274,0.00026274
22,76.8243,0.69047,1.61306,1.53673,0.43191,0.39198,0.43699,0.38768,0.47797,2.47721,1.49141,0.000254127,0.000254127,0.000254127
23,79.7745,0.60971,1.51161,1.49734,0.48093,0.39399,0.4428,0.39963,0.48009,2.4302,1.48,0.000245514,0.000245514,0.000245514
24,83.3451,0.61074,1.42158,1.48278,0.56275,0.41042,0.46367,0.41733,0.48364,2.31,1.48863,0.000236901,0.000236901,0.000236901
25,86.9554,0.60646,1.34039,1.48984,0.50744,0.42612,0.46566,0.41014,0.49599,2.31906,1.5136,0.000228288,0.000228288,0.000228288
26,89.9508,0.62019,1.26864,1.45972,0.46727,0.38725,0.46413,0.41381,0.4769,2.39379,1.59947,0.000219675,0.000219675,0.000219675
27,92.8594,0.59776,1.22501,1.52457,0.46828,0.38571,0.46524,0.41942,0.45352,2.35366,1.50534,0.000211062,0.000211062,0.000211062
28,96.4188,0.60226,1.24527,1.45959,0.4375,0.43068,0.48159,0.45137,0.4394,2.25785,1.59568,0.000202449,0.000202449,0.000202449
29,99.9372,0.63271,1.2117,1.44961,0.42552,0.40857,0.48692,0.45466,0.44534,2.23202,1.56498,0.000193836,0.000193836,0.000193836
30,103.58,0.59935,1.20481,1.4133,0.70482,0.36857,0.48809,0.45107,0.4453,2.27843,1.45844,0.000185223,0.000185223,0.000185223
31,106.583,0.54519,1.10845,1.38989,0.49703,0.44286,0.50267,0.46697,0.43163,2.28191,1.4413,0.00017661,0.00017661,0.00017661
32,110.192,0.58034,1.07754,1.47852,0.59254,0.45201,0.56187,0.52162,0.4494,2.25583,1.43266,0.000167997,0.000167997,0.000167997
33,113.757,0.54483,0.97766,1.42066,0.57058,0.46,0.57531,0.53057,0.44978,2.24983,1.44523,0.000159384,0.000159384,0.000159384
