epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.38206,1.50268,4.83589,2.91971,0.00157,0.08571,0.00189,0.0012,0.94164,4.27912,2.79049,2.175e-05,2.175e-05,2.175e-05
2,7.97796,1.20138,4.73618,2.61183,0.87996,0.05714,0.03318,0.02255,0.85901,4.13549,2.49782,4.69026e-05,4.69026e-05,4.69026e-05
3,12.1173,0.93721,4.48597,2.09359,0.91843,0.02857,0.06214,0.0492,0.71734,4.05204,2.10049,7.10216e-05,7.10216e-05,7.10216e-05
4,16.347,0.81628,4.35429,1.97422,0.87369,0.12742,0.05781,0.04459,0.63175,3.95937,1.89111,9.4107e-05,9.4107e-05,9.4107e-05
5,19.6442,0.79186,4.14203,1.8776,0.04183,0.59524,0.09833,0.08009,0.59312,3.83812,1.73551,0.000116159,0.000116159,0.000116159
6,23.516,0.78512,3.93095,1.86308,0.03688,0.57143,0.11548,0.09841,0.58864,3.67154,1.62757,0.000137177,0.000137177,0.000137177
7,27.4315,0.779,3.6748,1.95229,0.03571,0.51429,0.14094,0.12039,0.58871,3.61777,1.63575,0.000157162,0.000157162,0.000157162
8,31.429,0.79375,3.40731,1.86109,0.0356,0.45714,0.13614,0.11819,0.5904,3.87918,1.65438,0.000176113,0.000176113,0.000176113
9,34.7867,0.76772,3.08618,1.87153,0.04942,0.45143,0.13902,0.11509,0.54048,3.46428,1.7752,0.000194031,0.000194031,0.000194031
10,38.3012,0.74266,2.81437,2.00499,0.05589,0.5,0.14211,0.12226,0.557,3.25207,1.67793,0.000210915,0.000210915,0.000210915
11,42.3506,0.8083,2.69608,1.75187,0.07195,0.61143,0.18057,0.14034,0.55682,3.30655,1.54194,0.000226766,0.000226766,0.000226766
12,46.439,0.77771,2.43509,1.79699,0.0812,0.69429,0.18459,0.13877,0.53329,3.53252,1.51878,0.000241582,0.000241582,0.000241582
13,49.657,0.73301,2.33823,1.68691,0.09309,0.68571,0.17423,0.13928,0.48434,3.51116,1.50444,0.000255366,0.000255366,0.000255366
14,53.0478,0.72117,2.10791,1.69469,0.09021,0.71429,0.21199,0.18451,0.49135,3.42839,1.47562,0.000268116,0.000268116,0.000268116
15,57.0894,0.75769,1.97842,1.71603,0.10782,0.74286,0.22395,0.19037,0.50778,3.41206,1.46427,0.000279832,0.000279832,0.000279832
16,61.1057,0.68289,1.96578,1.63903,0.56509,0.35639,0.20311,0.17879,0.51816,3.33355,1.46532,0.000290515,0.000290515,0.000290515
17,64.2454,0.7029,1.81256,1.54345,0.58666,0.23005,0.20702,0.18599,0.52084,3.2639,1.46953,0.000297192,0.000297192,0.000297192
18,67.4187,0.63973,1.63658,1.56124,0.57764,0.16318,0.21415,0.19615,0.51096,3.13862,1.53839,0.000288579,0.000288579,0.000288579
19,71.5194,0.68834,1.71771,1.70021,0.41435,0.17333,0.23541,0.21476,0.50909,3.12094,1.4756,0.000279966,0.000279966,0.000279966
20,75.7452,0.63495,1.53868,1.56501,0.45259,0.36615,0.29976,0.27003,0.50526,2.99869,1.41088,0.000271353,0.000271353,0.000271353
21,79.6648,0.64692,1.52728,1.54829,0.11881,0.68571,0.31262,0.28259,0.50384,3.01624,1.36794,0.00026274,0.00026274,0.00026274
