epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.15471,1.30916,4.80383,2.75696,0.00179,0.0625,0.00156,0.00079,1.16564,4.35147,3.19379,1.74e-05,1.74e-05,1.74e-05
2,7.56303,1.25069,4.73526,2.63256,0.00239,0.2,0.02062,0.01347,0.99427,4.21139,2.87169,3.83748e-05,3.83748e-05,3.83748e-05
3,11.4569,0.95587,4.54127,2.1318,0.79171,0.025,0.05203,0.04041,0.8188,4.09878,2.34881,5.84884e-05,5.84884e-05,5.84884e-05
4,15.2921,0.88587,4.44665,2.08481,0.76075,0.075,0.03216,0.02487,0.70261,4.01708,2.12029,7.77406e-05,7.77406e-05,7.77406e-05
5,18.45,0.84933,4.29118,1.87642,0.02629,0.53393,0.05738,0.04625,0.63222,3.92665,2.04232,9.61315e-05,9.61315e-05,9.61315e-05
6,22.358,0.79736,4.15746,1.814,0.04066,0.675,0.10436,0.08515,0.59789,3.82629,1.97543,0.000113661,0.000113661,0.000113661
7,26.1213,0.73877,3.93937,1.82855,0.0743,0.7125,0.1493,0.12341,0.56466,3.66383,1.83481,0.000130329,0.000130329,0.000130329
8,29.8332,0.78589,3.76307,1.78017,0.06531,0.75625,0.18518,0.15211,0.5605,3.62064,1.8,0.000146137,0.000146137,0.000146137
9,33.7335,0.77542,3.53225,1.76275,0.05713,0.75,0.19964,0.17023,0.55643,4.03702,1.84434,0.000161082,0.000161082,0.000161082
10,37.7465,0.76217,3.26625,1.77223,0.70612,0.2163,0.19287,0.16841,0.54123,4.00089,2.0886,0.000175167,0.000175167,0.000175167
11,40.8748,0.77919,3.18983,1.80638,0.71811,0.26153,0.1823,0.1604,0.52255,3.3351,1.91478,0.00018839,0.00018839,0.00018839
12,43.8638,0.77755,2.87331,1.76751,0.5898,0.39116,0.17241,0.14677,0.55116,2.97591,1.68095,0.000200752,0.000200752,0.000200752
13,46.7944,0.78007,2.78674,1.65348,0.5934,0.40536,0.18963,0.1617,0.5633,2.85168,1.72371,0.000212252,0.000212252,0.000212252
14,49.7411,0.74824,2.64802,1.61663,0.59451,0.37321,0.21751,0.18089,0.55875,2.77325,1.73436,0.000222891,0.000222891,0.000222891
15,53.5239,0.73465,2.58091,1.68933,0.59474,0.40692,0.23279,0.20393,0.53598,2.64269,1.78184,0.000232669,0.000232669,0.000232669
16,57.2049,0.69502,2.40558,1.58315,0.61886,0.26178,0.25494,0.22471,0.52019,2.63219,1.68493,0.000241586,0.000241586,0.000241586
17,60.9541,0.69501,2.25752,1.49967,0.74002,0.21161,0.27606,0.24695,0.5107,2.63398,1.70012,0.000249641,0.000249641,0.000249641
18,64.5865,0.70942,2.09742,1.55402,0.66007,0.19784,0.28674,0.25475,0.50323,2.63928,1.69203,0.000256835,0.000256835,0.000256835
19,68.4219,0.69543,1.99726,1.58151,0.6066,0.23464,0.29101,0.26135,0.49994,2.59644,1.61345,0.000263168,0.000263168,0.000263168
20,72.2806,0.66661,1.96666,1.64454,0.8212,0.23084,0.29728,0.26968,0.48936,2.4875,1.62223,0.000268639,0.000268639,0.000268639
21,76.1159,0.64711,1.71903,1.54406,0.7517,0.27853,0.31212,0.2766,0.5112,2.45485,1.563,0.00026274,0.00026274,0.00026274
22,80.1289,0.63624,1.68073,1.51983,0.68986,0.27679,0.33892,0.2891,0.50095,2.42837,1.55205,0.000254127,0.000254127,0.000254127
23,83.8311,0.62649,1.66259,1.51762,0.71587,0.27458,0.36153,0.31672,0.5021,2.41656,1.59599,0.000245514,0.000245514,0.000245514
24,87.7845,0.63692,1.63818,1.4983,0.55991,0.30089,0.33998,0.30005,0.52527,2.43068,1.53405,0.000236901,0.000236901,0.000236901
25,90.8795,0.59657,1.3603,1.4463,0.54508,0.28839,0.33851,0.30281,0.50857,2.45877,1.53045,0.000228288,0.000228288,0.000228288
26,93.9523,0.63994,1.4214,1.43569,0.4241,0.3017,0.34202,0.30537,0.48216,2.49225,1.58034,0.000219675,0.000219675,0.000219675
27,96.9228,0.57624,1.39388,1.38831,0.39564,0.31273,0.33161,0.29463,0.47809,2.50747,1.63944,0.000211062,0.000211062,0.000211062
28,99.8509,0.57642,1.26969,1.5038,0.4235,0.28651,0.32644,0.29365,0.48332,2.34734,1.58999,0.000202449,0.000202449,0.000202449
29,102.794,0.57066,1.32755,1.48493,0.54073,0.26127,0.32024,0.29152,0.45519,2.29682,1.56654,0.000193836,0.000193836,0.000193836
30,105.758,0.57105,1.20871,1.38074,0.44037,0.27857,0.32149,0.29419,0.46746,2.31251,1.72779,0.000185223,0.000185223,0.000185223
31,108.847,0.57362,1.19113,1.40966,0.494,0.275,0.31902,0.29227,0.46319,2.3506,1.77211,0.00017661,0.00017661,0.00017661
32,111.881,0.58637,1.29278,1.41906,0.50645,0.30202,0.33945,0.3111,0.44132,2.43346,1.52778,0.000167997,0.000167997,0.000167997
33,114.926,0.57029,1.23148,1.39261,0.64678,0.28571,0.33027,0.30007,0.44709,2.47611,1.66369,0.000159384,0.000159384,0.000159384
34,117.858,0.51025,1.12842,1.34478,0.51177,0.28176,0.32554,0.29739,0.44237,2.47311,1.75801,0.000150771,0.000150771,0.000150771
35,120.856,0.54255,1.0994,1.34941,0.50195,0.28328,0.32948,0.3028,0.44923,2.48827,1.75928,0.000142158,0.000142158,0.000142158
36,123.807,0.53274,1.10819,1.42908,0.47732,0.27806,0.33355,0.30259,0.44243,2.57651,1.64245,0.000133545,0.000133545,0.000133545
37,126.905,0.53917,1.02082,1.36905,0.45959,0.28688,0.33417,0.31363,0.42849,2.62181,1.56251,0.000124932,0.000124932,0.000124932
38,129.883,0.53329,1.03587,1.4098,0.44619,0.28036,0.33724,0.30983,0.42492,2.64049,1.54078,0.000116319,0.000116319,0.000116319
39,132.92,0.52302,0.98466,1.3483,0.4256,0.28036,0.32895,0.30357,0.43007,2.67245,1.50783,0.000107706,0.000107706,0.000107706
40,135.899,0.48032,0.93382,1.26148,0.39918,0.2694,0.29288,0.27455,0.43769,2.68339,1.48159,9.9093e-05,9.9093e-05,9.9093e-05
41,163.066,0.40116,1.0206,1.31082,0.40734,0.2875,0.28208,0.26721,0.43718,2.68108,1.50795,9.048e-05,9.048e-05,9.048e-05
42,166.09,0.39439,0.97302,1.24806,0.27656,0.2875,0.2716,0.25766,0.44135,2.70136,1.53347,8.1867e-05,8.1867e-05,8.1867e-05
43,169.047,0.3795,0.92781,1.36804,0.28842,0.29125,0.26789,0.25362,0.44329,2.72295,1.62521,7.3254e-05,7.3254e-05,7.3254e-05
44,171.986,0.36532,0.93069,1.20029,0.28824,0.28408,0.2705,0.25113,0.4401,2.76969,1.67161,6.4641e-05,6.4641e-05,6.4641e-05
45,174.924,0.37212,0.9332,1.37941,0.28692,0.27943,0.27811,0.2601,0.43358,2.7628,1.64525,5.6028e-05,5.6028e-05,5.6028e-05
46,178.047,0.39047,0.88971,1.2013,0.28764,0.26981,0.28524,0.26582,0.43077,2.75242,1.63098,4.7415e-05,4.7415e-05,4.7415e-05
47,180.992,0.32876,0.83101,1.20649,0.2906,0.26964,0.29012,0.27211,0.43006,2.75174,1.61825,3.8802e-05,3.8802e-05,3.8802e-05
48,184.124,0.34524,0.84003,1.23162,0.29018,0.27188,0.29785,0.28169,0.42677,2.75087,1.59659,3.0189e-05,3.0189e-05,3.0189e-05
49,187.057,0.35581,0.82917,1.20739,0.29045,0.27262,0.30001,0.28278,0.43064,2.75207,1.56963,2.1576e-05,2.1576e-05,2.1576e-05
50,190.052,0.36406,0.854,1.2384,0.29072,0.28789,0.29425,0.27663,0.43269,2.76529,1.54574,1.2963e-05,1.2963e-05,1.2963e-05
