epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.78066,1.27873,4.87543,2.73871,0.00229,0.08571,0.00377,0.00254,0.876,4.27551,2.6486,2.61e-05,2.61e-05,2.61e-05
2,13.2829,1.08928,4.66994,2.35257,0.89958,0.04938,0.06301,0.04995,0.7669,4.07553,2.22055,5.54303e-05,5.54303e-05,5.54303e-05
3,17.3605,0.87492,4.4299,2.03655,0.87893,0.14286,0.04358,0.03659,0.65445,4.04564,1.89086,8.35548e-05,8.35548e-05,8.35548e-05
4,20.6982,0.77734,4.22085,1.8553,0.88637,0.05714,0.07392,0.06301,0.59792,4.00275,1.80116,0.000110473,0.000110473,0.000110473
5,24.5579,0.74759,3.93246,1.87798,0.65593,0.11429,0.16459,0.13176,0.5981,3.90158,1.65827,0.000136186,0.000136186,0.000136186
6,28.4405,0.76385,3.78595,1.82831,0.61569,0.25714,0.1671,0.13504,0.61912,3.88284,1.64074,0.000160693,0.000160693,0.000160693
7,32.3387,0.77926,3.3345,1.86673,0.02214,0.42857,0.14596,0.12715,0.60756,4.53625,1.75947,0.000183995,0.000183995,0.000183995
8,35.5134,0.71627,2.99493,1.8197,0.02619,0.42857,0.12012,0.10586,0.63623,4.74705,1.76025,0.00020609,0.00020609,0.00020609
9,38.7842,0.8069,2.83602,1.80388,0.07288,0.45714,0.14499,0.12604,0.58139,4.34272,1.66946,0.00022698,0.00022698,0.00022698
10,41.9374,0.76594,2.54108,1.72698,0.08391,0.52571,0.15267,0.13852,0.51854,4.2316,1.59925,0.000246663,0.000246663,0.000246663
11,49.4162,0.74719,2.32141,1.68529,0.11434,0.56571,0.18343,0.16641,0.49985,4.30601,1.54482,0.000265141,0.000265141,0.000265141
12,53.3882,0.67283,2.04588,1.59859,0.12309,0.61714,0.19322,0.17335,0.53867,4.37406,1.51012,0.000282413,0.000282413,0.000282413
13,57.3879,0.73316,2.19674,1.62968,0.10534,0.6,0.183,0.16386,0.53183,4.31268,1.54858,0.00029848,0.00029848,0.00029848
14,60.6012,0.70116,1.99066,1.68178,0.09712,0.6,0.15958,0.14262,0.52817,4.24438,1.49049,0.00031334,0.00031334,0.00031334
15,63.772,0.66136,1.84478,1.54979,0.13271,0.6,0.16578,0.13132,0.52054,4.28217,1.43474,0.000314418,0.000314418,0.000314418
16,66.9034,0.66358,1.74181,1.61097,0.1293,0.6,0.15387,0.11939,0.48765,4.38214,1.43086,0.000305805,0.000305805,0.000305805
17,70.061,0.62336,1.62305,1.54695,0.12651,0.6,0.15211,0.10839,0.48826,4.27723,1.43856,0.000297192,0.000297192,0.000297192
18,73.2439,0.57383,1.45482,1.47205,0.06626,0.57143,0.10184,0.0925,0.49132,3.93411,1.51222,0.000288579,0.000288579,0.000288579
19,76.3937,0.60584,1.42495,1.56497,0.0729,0.57143,0.11785,0.10821,0.4691,3.90089,1.49509,0.000279966,0.000279966,0.000279966
20,79.5841,0.65018,1.35473,1.52442,0.07529,0.57143,0.13149,0.1178,0.51484,3.73008,1.38774,0.000271353,0.000271353,0.000271353
21,82.8347,0.62497,1.30138,1.4664,0.07806,0.57143,0.13545,0.11906,0.50852,3.71463,1.48847,0.00026274,0.00026274,0.00026274
22,85.9281,0.61266,1.27608,1.48458,0.08337,0.5619,0.15837,0.13975,0.49199,3.74311,1.4255,0.000254127,0.000254127,0.000254127
23,89.0647,0.61269,1.20203,1.50858,0.09183,0.54286,0.14906,0.1339,0.50318,3.72056,1.48517,0.000245514,0.000245514,0.000245514
